Genotype	chr	ref_start	ref_end	donor_genome	color
Col-0	chr1	352546	357258	Col-0	#000000
Col-0	chr1	357259	357905	Col-0	#000000
Col-0	chr1	357906	359116	Col-0	#000000
Col-0	chr1	359117	360917	Col-0	#000000
Col-0	chr1	360918	363142	Col-0	#000000
Col-0	chr1	363143	365164	Col-0	#000000
Col-0	chr1	365165	367443	Col-0	#000000
Col-0	chr1	367444	370194	Col-0	#000000
Col-0	chr1	370195	371090	Col-0	#000000
Col-0	chr1	371091	373334	Col-0	#000000
Col-0	chr1	373335	386913	Col-0	#000000
Col-0	chr1	386914	389811	Col-0	#000000
Col-0	chr1	389812	392816	Col-0	#000000
Col-0	chr1	392817	395688	Col-0	#000000
Col-0	chr1	395689	401919	Col-0	#000000
Col-0	chr1	401920	403099	Col-0	#000000
Col-0	chr1	403100	404599	Col-0	#000000
Col-0	chr1	404600	408619	Col-0	#000000
Col-0	chr1	408620	410680	Col-0	#000000
Col-0	chr1	410681	411663	Col-0	#000000
Col-0	chr1	411664	414649	Col-0	#000000
Col-0	chr1	414650	418415	Col-0	#000000
Col-0	chr1	418416	422579	Col-0	#000000
Col-0	chr1	422580	427547	Col-0	#000000
Col-0	chr1	427548	428649	Col-0	#000000
Col-0	chr1	428650	430720	Col-0	#000000
Col-0	chr1	430721	434964	Col-0	#000000
Col-0	chr1	434965	436922	Col-0	#000000
Col-0	chr1	436923	437859	Col-0	#000000
Col-0	chr1	437860	439559	Col-0	#000000
Col-0	chr1	439560	440199	Col-0	#000000
Col-0	chr1	440200	443117	Col-0	#000000
Col-0	chr1	443118	446296	Col-0	#000000
Col-0	chr1	446297	448422	Col-0	#000000
Col-0	chr1	448423	450460	Col-0	#000000
Col-0	chr1	450461	453106	Col-0	#000000
Col-0	chr1	453107	455687	Col-0	#000000
Col-0	chr1	455688	460831	Col-0	#000000
Col-0	chr1	460832	461827	Col-0	#000000
Col-0	chr1	461828	463618	Col-0	#000000
Col-0	chr1	463619	464981	Col-0	#000000
Col-0	chr1	464982	465615	Col-0	#000000
Col-0	chr1	465616	467880	Col-0	#000000
Col-0	chr1	467881	469817	Col-0	#000000
Col-0	chr1	469818	470693	Col-0	#000000
Col-0	chr1	470694	471882	Col-0	#000000
Col-0	chr1	471883	473336	Col-0	#000000
Col-0	chr1	473337	474372	Col-0	#000000
Col-0	chr1	474373	476612	Col-0	#000000
Col-0	chr1	476613	479112	Col-0	#000000
Col-0	chr1	479113	480649	Col-0	#000000
Col-0	chr1	480650	483373	Col-0	#000000
Col-0	chr1	483374	486799	Col-0	#000000
Col-0	chr1	486800	489651	Col-0	#000000
Col-0	chr1	489652	490859	Col-0	#000000
Col-0	chr1	490860	492979	Col-0	#000000
Col-0	chr1	492980	493638	Col-0	#000000
Col-0	chr1	493639	496332	Col-0	#000000
Col-0	chr1	496333	497555	Col-0	#000000
Col-0	chr1	497556	498539	Col-0	#000000
Col-0	chr1	498540	500000	Col-0	#000000
Col-0	chr2	1	1024	Col-0	#000000
Col-0	chr2	1025	3173	Col-0	#000000
Col-0	chr2	3174	6570	Col-0	#000000
Col-0	chr2	6571	9767	Col-0	#000000
Col-0	chr2	9768	50287	Col-0	#000000
Col-0	chr2	50288	51487	Col-0	#000000
Col-0	chr2	51488	53268	Col-0	#000000
Col-0	chr2	53269	54468	Col-0	#000000
Col-0	chr2	54469	68336	Col-0	#000000
Col-0	chr2	68337	69884	Col-0	#000000
Col-0	chr2	69885	73207	Col-0	#000000
Col-0	chr2	73208	75519	Col-0	#000000
Col-0	chr2	75520	77865	Col-0	#000000
Col-0	chr2	77866	79778	Col-0	#000000
Col-0	chr2	79779	85400	Col-0	#000000
Col-0	chr2	85401	96863	Col-0	#000000
Col-0	chr2	96864	100483	Col-0	#000000
Col-0	chr2	100484	101566	Col-0	#000000
Col-0	chr2	101567	102155	Col-0	#000000
Col-0	chr2	102156	104574	Col-0	#000000
Col-0	chr2	104575	106620	Col-0	#000000
Col-0	chr2	106621	108829	Col-0	#000000
Col-0	chr2	108830	114925	Col-0	#000000
Col-0	chr2	114926	117968	Col-0	#000000
Col-0	chr2	117969	121980	Col-0	#000000
Col-0	chr2	121981	123022	Col-0	#000000
Col-0	chr2	123023	126611	Col-0	#000000
Col-0	chr2	126612	128290	Col-0	#000000
Col-0	chr2	128291	129132	Col-0	#000000
Col-0	chr2	129133	132577	Col-0	#000000
Col-0	chr2	132578	134455	Col-0	#000000
Col-0	chr2	134456	135222	Col-0	#000000
Col-0	chr2	135223	137916	Col-0	#000000
Col-0	chr2	137917	139308	Col-0	#000000
Col-0	chr2	139309	144524	Col-0	#000000
Col-0	chr2	144525	145675	Col-0	#000000
Col-0	chr2	145676	150585	Col-0	#000000
Col-0	chr2	150586	151971	Col-0	#000000
Col-0	chr2	151972	152827	Col-0	#000000
Col-0	chr2	152828	154096	Col-0	#000000
Col-0	chr2	154097	160870	Col-0	#000000
Col-0	chr2	160871	163953	Col-0	#000000
Col-0	chr2	163954	167259	Col-0	#000000
Col-0	chr2	167260	167930	Col-0	#000000
Col-0	chr2	167931	168630	Col-0	#000000
Col-0	chr2	168631	169642	Col-0	#000000
Col-0	chr2	169643	171097	Col-0	#000000
Col-0	chr2	171098	172175	Col-0	#000000
Col-0	chr2	172176	174167	Col-0	#000000
Col-0	chr2	174168	176407	Col-0	#000000
Col-0	chr2	176408	180032	Col-0	#000000
Col-0	chr2	180033	183764	Col-0	#000000
Col-0	chr2	183765	187607	Col-0	#000000
Col-0	chr2	187608	190369	Col-0	#000000
Col-0	chr2	190370	193163	Col-0	#000000
Col-0	chr2	193164	199280	Col-0	#000000
Col-0	chr2	199281	203126	Col-0	#000000
Col-0	chr2	203127	205774	Col-0	#000000
Col-0	chr2	205775	214473	Col-0	#000000
Col-0	chr2	214474	216604	Col-0	#000000
Col-0	chr2	216605	221002	Col-0	#000000
Col-0	chr2	221003	223809	Col-0	#000000
Col-0	chr2	223810	226234	Col-0	#000000
Col-0	chr2	226235	228576	Col-0	#000000
Col-0	chr2	228577	232540	Col-0	#000000
Col-0	chr2	232541	235924	Col-0	#000000
Col-0	chr2	235925	237253	Col-0	#000000
Col-0	chr2	237254	239668	Col-0	#000000
Col-0	chr2	239669	240687	Col-0	#000000
Col-0	chr2	240688	242040	Col-0	#000000
Col-0	chr2	242041	243649	Col-0	#000000
Col-0	chr2	243650	249686	Col-0	#000000
Col-0	chr2	249687	250244	Col-0	#000000
Col-0	chr2	250245	251806	Col-0	#000000
Col-0	chr2	251807	255246	Col-0	#000000
Col-0	chr2	255247	257568	Col-0	#000000
Col-0	chr2	257569	265021	Col-0	#000000
Col-0	chr2	265022	265948	Col-0	#000000
Col-0	chr2	265949	266558	Col-0	#000000
Col-0	chr2	266559	267926	Col-0	#000000
Col-0	chr2	267927	268713	Col-0	#000000
Col-0	chr2	268714	272676	Col-0	#000000
Col-0	chr2	272677	273894	Col-0	#000000
Col-0	chr2	273895	275002	Col-0	#000000
Col-0	chr2	275003	278123	Col-0	#000000
Col-0	chr2	278124	282123	Col-0	#000000
Col-0	chr2	282124	282829	Col-0	#000000
Col-0	chr2	282830	286529	Col-0	#000000
Col-0	chr2	286530	290572	Col-0	#000000
Col-0	chr2	290573	292688	Col-0	#000000
Col-0	chr2	292689	295454	Col-0	#000000
Col-0	chr2	295455	296364	Col-0	#000000
Col-0	chr2	296365	298215	Col-0	#000000
Col-0	chr2	298216	306250	Col-0	#000000
Col-0	chr2	306251	313805	Col-0	#000000
Col-0	chr2	313806	315647	Col-0	#000000
Col-0	chr2	315648	317029	Col-0	#000000
Col-0	chr2	317030	320432	Col-0	#000000
Col-0	chr2	320433	323963	Col-0	#000000
Col-0	chr2	323964	326094	Col-0	#000000
Col-0	chr2	326095	328024	Col-0	#000000
Col-0	chr2	328025	332872	Col-0	#000000
Col-0	chr2	332873	336462	Col-0	#000000
Col-0	chr2	336463	338023	Col-0	#000000
Col-0	chr2	338024	339871	Col-0	#000000
Col-0	chr2	339872	341321	Col-0	#000000
Col-0	chr2	341322	342480	Col-0	#000000
Col-0	chr2	342481	343561	Col-0	#000000
Col-0	chr2	343562	345254	Col-0	#000000
Col-0	chr2	345255	347536	Col-0	#000000
Col-0	chr2	347537	350179	Col-0	#000000
Col-0	chr2	350180	353343	Col-0	#000000
Col-0	chr2	353344	355594	Col-0	#000000
Col-0	chr2	355595	357352	Col-0	#000000
Col-0	chr2	357353	360924	Col-0	#000000
Col-0	chr2	360925	362982	Col-0	#000000
Col-0	chr2	362983	369707	Col-0	#000000
Col-0	chr2	369708	385170	Col-0	#000000
Col-0	chr2	385171	387478	Col-0	#000000
Col-0	chr2	387479	388054	Col-0	#000000
Col-0	chr2	388055	390405	Col-0	#000000
Col-0	chr2	390406	391420	Col-0	#000000
Col-0	chr2	391421	394184	Col-0	#000000
Col-0	chr2	394185	396755	Col-0	#000000
Col-0	chr2	396756	399338	Col-0	#000000
Col-0	chr2	399339	405761	Col-0	#000000
Col-0	chr2	405762	409203	Col-0	#000000
Col-0	chr2	409204	410320	Col-0	#000000
Col-0	chr2	410321	416000	Col-0	#000000
Col-0	chr2	416001	420661	Col-0	#000000
Col-0	chr2	420662	421607	Col-0	#000000
Col-0	chr2	421608	422643	Col-0	#000000
Col-0	chr2	422644	424059	Col-0	#000000
Col-0	chr2	424060	425810	Col-0	#000000
Col-0	chr2	425811	427113	Col-0	#000000
Col-0	chr2	427114	428900	Col-0	#000000
Col-0	chr2	428901	432194	Col-0	#000000
Col-0	chr2	432195	435100	Col-0	#000000
Col-0	chr2	435101	440623	Col-0	#000000
Col-0	chr2	440624	444324	Col-0	#000000
Col-0	chr2	444325	450378	Col-0	#000000
Col-0	chr2	450379	454959	Col-0	#000000
Col-0	chr2	454960	457001	Col-0	#000000
Col-0	chr2	457002	463408	Col-0	#000000
Col-0	chr2	463409	464993	Col-0	#000000
Col-0	chr2	464994	466955	Col-0	#000000
Col-0	chr2	466956	469369	Col-0	#000000
Col-0	chr2	469370	472070	Col-0	#000000
Col-0	chr2	472071	474107	Col-0	#000000
Col-0	chr2	474108	476997	Col-0	#000000
Col-0	chr2	476998	478976	Col-0	#000000
Col-0	chr2	478977	481185	Col-0	#000000
Col-0	chr2	481186	481830	Col-0	#000000
Col-0	chr2	481831	482334	Col-0	#000000
Col-0	chr2	482335	483829	Col-0	#000000
Col-0	chr2	483830	487397	Col-0	#000000
Col-0	chr2	487398	489941	Col-0	#000000
Col-0	chr2	489942	492058	Col-0	#000000
Col-0	chr2	492059	494744	Col-0	#000000
Col-0	chr2	494745	497860	Col-0	#000000
Col-0	chr2	497861	500000	Col-0	#000000
Bla-1	chr1	3631	5899	Bla-1	#e41a1c
Bla-1	chr1	5900	6787	Bla-1	#e41a1c
Bla-1	chr1	6788	9130	Bla-1	#e41a1c
Bla-1	chr1	9131	11648	Bla-1	#e41a1c
Bla-1	chr1	11649	13714	Bla-1	#e41a1c
Bla-1	chr1	13715	23120	Bla-1	#e41a1c
Bla-1	chr1	23121	33171	Bla-1	#e41a1c
Bla-1	chr1	33172	37871	Bla-1	#e41a1c
Bla-1	chr1	37872	38443	Bla-1	#e41a1c
Bla-1	chr1	38444	41017	Bla-1	#e41a1c
Bla-1	chr1	41018	44969	Bla-1	#e41a1c
Bla-1	chr1	44970	47059	Bla-1	#e41a1c
Bla-1	chr1	47060	49304	Bla-1	#e41a1c
Bla-1	chr1	49305	49908	Bla-1	#e41a1c
Bla-1	chr1	49909	51210	Bla-1	#e41a1c
Bla-1	chr1	51211	51952	Bla-1	#e41a1c
Bla-1	chr1	51953	54737	Bla-1	#e41a1c
Bla-1	chr1	54738	57163	Bla-1	#e41a1c
Bla-1	chr1	57164	59215	Bla-1	#e41a1c
Bla-1	chr1	59216	61904	Bla-1	#e41a1c
Bla-1	chr1	61905	64165	Bla-1	#e41a1c
Bla-1	chr1	64166	67774	Bla-1	#e41a1c
Bla-1	chr1	67775	69910	Bla-1	#e41a1c
Bla-1	chr1	69911	72338	Bla-1	#e41a1c
Bla-1	chr1	72339	74737	Bla-1	#e41a1c
Bla-1	chr1	74738	75389	Bla-1	#e41a1c
Bla-1	chr1	75390	76845	Bla-1	#e41a1c
Bla-1	chr1	76846	82983	Bla-1	#e41a1c
Bla-1	chr1	82984	84946	Bla-1	#e41a1c
Bla-1	chr1	84947	86485	Bla-1	#e41a1c
Bla-1	chr1	86486	88409	Bla-1	#e41a1c
Bla-1	chr1	88410	90502	Bla-1	#e41a1c
Bla-1	chr1	90503	91341	Bla-1	#e41a1c
Bla-1	chr1	91342	95681	Bla-1	#e41a1c
Bla-1	chr1	95682	97411	Bla-1	#e41a1c
Bla-1	chr1	97412	99240	Bla-1	#e41a1c
Bla-1	chr1	99241	99864	Bla-1	#e41a1c
Bla-1	chr1	99865	101987	Bla-1	#e41a1c
Bla-1	chr1	101988	104439	Bla-1	#e41a1c
Bla-1	chr1	104440	105330	Bla-1	#e41a1c
Bla-1	chr1	105331	108945	Bla-1	#e41a1c
Bla-1	chr1	108946	111699	Bla-1	#e41a1c
Bla-1	chr1	111700	112262	Bla-1	#e41a1c
Bla-1	chr1	112263	114201	Bla-1	#e41a1c
Bla-1	chr1	114202	116407	Bla-1	#e41a1c
Bla-1	chr1	116408	118845	Bla-1	#e41a1c
Bla-1	chr1	118846	119380	Bla-1	#e41a1c
Bla-1	chr1	119381	120153	Bla-1	#e41a1c
Bla-1	chr1	120154	130577	Bla-1	#e41a1c
Bla-1	chr1	130578	132269	Bla-1	#e41a1c
Bla-1	chr1	132270	135924	Bla-1	#e41a1c
Bla-1	chr1	135925	138162	Bla-1	#e41a1c
Bla-1	chr1	138163	139680	Bla-1	#e41a1c
Bla-1	chr1	139681	141869	Bla-1	#e41a1c
Bla-1	chr1	141870	143488	Bla-1	#e41a1c
Bla-1	chr1	143489	146479	Bla-1	#e41a1c
Bla-1	chr1	146480	147042	Bla-1	#e41a1c
Bla-1	chr1	147043	149848	Bla-1	#e41a1c
Bla-1	chr1	149849	150688	Bla-1	#e41a1c
Bla-1	chr1	150689	152210	Bla-1	#e41a1c
Bla-1	chr1	152211	153112	Bla-1	#e41a1c
Bla-1	chr1	153113	154366	Bla-1	#e41a1c
Bla-1	chr1	154367	156476	Bla-1	#e41a1c
Bla-1	chr1	156477	158823	Bla-1	#e41a1c
Bla-1	chr1	158824	159627	Bla-1	#e41a1c
Bla-1	chr1	159628	162953	Bla-1	#e41a1c
Bla-1	chr1	162954	164104	Bla-1	#e41a1c
Bla-1	chr1	164105	165517	Bla-1	#e41a1c
Bla-1	chr1	165518	166588	Bla-1	#e41a1c
Bla-1	chr1	166589	168558	Bla-1	#e41a1c
Bla-1	chr1	168559	171386	Bla-1	#e41a1c
Bla-1	chr1	171387	172948	Bla-1	#e41a1c
Bla-1	chr1	172949	175705	Bla-1	#e41a1c
Bla-1	chr1	175706	178406	Bla-1	#e41a1c
Bla-1	chr1	178407	180016	Bla-1	#e41a1c
Bla-1	chr1	180017	182749	Bla-1	#e41a1c
Bla-1	chr1	182750	185032	Bla-1	#e41a1c
Bla-1	chr1	185033	187144	Bla-1	#e41a1c
Bla-1	chr1	187145	192436	Bla-1	#e41a1c
Bla-1	chr1	192437	193670	Bla-1	#e41a1c
Bla-1	chr1	193671	195644	Bla-1	#e41a1c
Bla-1	chr1	195645	198787	Bla-1	#e41a1c
Bla-1	chr1	198788	199526	Bla-1	#e41a1c
Bla-1	chr1	199527	202102	Bla-1	#e41a1c
Bla-1	chr1	202103	204934	Bla-1	#e41a1c
Bla-1	chr1	204935	207642	Bla-1	#e41a1c
Bla-1	chr1	207643	208994	Bla-1	#e41a1c
Bla-1	chr1	208995	213082	Bla-1	#e41a1c
Bla-1	chr1	213083	214149	Bla-1	#e41a1c
Bla-1	chr1	214150	217734	Bla-1	#e41a1c
Bla-1	chr1	217735	218833	Bla-1	#e41a1c
Bla-1	chr1	218834	221641	Bla-1	#e41a1c
Bla-1	chr1	221642	224351	Bla-1	#e41a1c
Bla-1	chr1	224352	225664	Bla-1	#e41a1c
Bla-1	chr1	225665	227543	Bla-1	#e41a1c
Bla-1	chr1	227544	228798	Bla-1	#e41a1c
Bla-1	chr1	228799	232839	Bla-1	#e41a1c
Bla-1	chr1	232840	237905	Bla-1	#e41a1c
Bla-1	chr1	237906	239840	Bla-1	#e41a1c
Bla-1	chr1	239841	242712	Bla-1	#e41a1c
Bla-1	chr1	242713	246054	Bla-1	#e41a1c
Bla-1	chr1	246055	248440	Bla-1	#e41a1c
Bla-1	chr1	248441	249040	Bla-1	#e41a1c
Bla-1	chr1	249041	252522	Bla-1	#e41a1c
Bla-1	chr1	252523	254530	Bla-1	#e41a1c
Bla-1	chr1	254531	259306	Bla-1	#e41a1c
Bla-1	chr1	259307	261667	Bla-1	#e41a1c
Bla-1	chr1	261668	262827	Bla-1	#e41a1c
Bla-1	chr1	262828	266324	Bla-1	#e41a1c
Bla-1	chr1	266325	267992	Bla-1	#e41a1c
Bla-1	chr1	267993	274930	Bla-1	#e41a1c
Bla-1	chr1	274931	278599	Bla-1	#e41a1c
Bla-1	chr1	278600	284349	Bla-1	#e41a1c
Bla-1	chr1	284350	291203	Bla-1	#e41a1c
Bla-1	chr1	291204	293245	Bla-1	#e41a1c
Bla-1	chr1	293246	295086	Bla-1	#e41a1c
Bla-1	chr1	295087	296000	Bla-1	#e41a1c
Bla-1	chr1	296001	298450	Bla-1	#e41a1c
Bla-1	chr1	298451	302310	Bla-1	#e41a1c
Bla-1	chr1	302311	303536	Bla-1	#e41a1c
Bla-1	chr1	303537	306466	Bla-1	#e41a1c
Bla-1	chr1	306467	309541	Bla-1	#e41a1c
Bla-1	chr1	309542	310168	Bla-1	#e41a1c
Bla-1	chr1	310169	319667	Bla-1	#e41a1c
Bla-1	chr1	319668	325315	Bla-1	#e41a1c
Bla-1	chr1	325316	337912	Bla-1	#e41a1c
Bla-1	chr1	337913	340088	Bla-1	#e41a1c
Bla-1	chr1	340089	342040	Bla-1	#e41a1c
Bla-1	chr1	342041	342917	Bla-1	#e41a1c
Bla-1	chr1	342918	344400	Bla-1	#e41a1c
Bla-1	chr1	344401	345515	Bla-1	#e41a1c
Bla-1	chr1	345516	347612	Bla-1	#e41a1c
Bla-1	chr1	347613	352545	Bla-1	#e41a1c
Bla-1	chr1	352546	357258	Bla-1	#e41a1c
Bla-1	chr1	357259	357905	Bla-1	#e41a1c
Bla-1	chr1	357906	359116	Bla-1	#e41a1c
Bla-1	chr1	359117	360917	Bla-1	#e41a1c
Bla-1	chr1	360918	363142	Bla-1	#e41a1c
Bla-1	chr1	363143	365164	Bla-1	#e41a1c
Bla-1	chr1	365165	367443	Bla-1	#e41a1c
Bla-1	chr1	367444	370194	Bla-1	#e41a1c
Bla-1	chr1	370195	371090	Bla-1	#e41a1c
Bla-1	chr1	371091	373334	Bla-1	#e41a1c
Bla-1	chr1	373335	386913	Bla-1	#e41a1c
Bla-1	chr1	386914	389811	Bla-1	#e41a1c
Bla-1	chr1	389812	392816	Bla-1	#e41a1c
Bla-1	chr1	392817	395688	Bla-1	#e41a1c
Bla-1	chr1	395689	401919	Bla-1	#e41a1c
Bla-1	chr1	401920	403099	Bla-1	#e41a1c
Bla-1	chr1	403100	404599	Bla-1	#e41a1c
Bla-1	chr1	404600	408619	Bla-1	#e41a1c
Bla-1	chr1	408620	410680	Bla-1	#e41a1c
Bla-1	chr1	410681	411663	Bla-1	#e41a1c
Bla-1	chr1	411664	414649	Bla-1	#e41a1c
Bla-1	chr1	414650	418415	Bla-1	#e41a1c
Bla-1	chr1	418416	422579	Bla-1	#e41a1c
Bla-1	chr1	422580	427547	Bla-1	#e41a1c
Bla-1	chr1	427548	428649	Bla-1	#e41a1c
Bla-1	chr1	428650	430720	Bla-1	#e41a1c
Bla-1	chr1	430721	434964	Bla-1	#e41a1c
Bla-1	chr1	434965	436922	Bla-1	#e41a1c
Bla-1	chr1	436923	437859	Bla-1	#e41a1c
Bla-1	chr1	437860	439559	Bla-1	#e41a1c
Bla-1	chr1	439560	440199	Bla-1	#e41a1c
Bla-1	chr1	440200	443117	Bla-1	#e41a1c
Bla-1	chr1	443118	446296	Bla-1	#e41a1c
Bla-1	chr1	446297	448422	Bla-1	#e41a1c
Bla-1	chr1	448423	450460	Bla-1	#e41a1c
Bla-1	chr1	450461	453106	Bla-1	#e41a1c
Bla-1	chr1	453107	455687	Bla-1	#e41a1c
Bla-1	chr1	455688	460831	Bla-1	#e41a1c
Bla-1	chr1	460832	461827	Bla-1	#e41a1c
Bla-1	chr1	461828	463618	Bla-1	#e41a1c
Bla-1	chr1	463619	464981	Bla-1	#e41a1c
Bla-1	chr1	464982	465615	Bla-1	#e41a1c
Bla-1	chr1	465616	467880	Bla-1	#e41a1c
Bla-1	chr1	467881	469817	Bla-1	#e41a1c
Bla-1	chr1	469818	470693	Bla-1	#e41a1c
Bla-1	chr1	470694	471882	Bla-1	#e41a1c
Bla-1	chr1	471883	473336	Bla-1	#e41a1c
Bla-1	chr1	473337	474372	Bla-1	#e41a1c
Bla-1	chr1	474373	476612	Bla-1	#e41a1c
Bla-1	chr1	476613	479112	Bla-1	#e41a1c
Bla-1	chr1	479113	480649	Bla-1	#e41a1c
Bla-1	chr1	480650	483373	Bla-1	#e41a1c
Bla-1	chr1	483374	486799	Bla-1	#e41a1c
